episode,timestep,reward
5,1499,-0.2788
10,3306,-0.3078
15,4917,-0.2931
20,6678,-0.3214
25,8176,-0.2768
30,9759,-0.2878
35,11313,-0.2702
40,13161,-0.3157
45,14701,-0.2661
50,16178,-0.2554
55,17741,-0.2714
60,19337,-0.2755
65,20867,-0.268
70,22489,-0.2753
75,24072,-0.272
80,25725,-0.2799
85,27542,-0.3062
90,29312,-0.2943
95,30903,-0.2712
100,32626,-0.2936
105,34348,-0.287
110,36158,-0.3062
115,37818,-0.2832
120,39437,-0.2795
125,40981,-0.2727
130,42459,-0.2625
135,44110,-0.2939
140,45805,-0.3025
145,47326,-0.2722
150,48923,-0.2912
155,50722,-0.3122
160,52685,-0.3295
165,54445,-0.3005
170,56286,-0.3135
175,58088,-0.3104
180,59821,-0.3081
185,61429,-0.2887
190,62972,-0.2719
195,64704,-0.3059
200,66345,-0.2959
205,68092,-0.3098
210,70106,-0.3334
215,71751,-0.2926
220,73239,-0.2873
225,74800,-0.2983
230,76339,-0.2943
235,77937,-0.3047
240,79548,-0.3063
245,80895,-0.2756
250,82408,-0.2998
