Trial 407 finished with value: 221.86280879999998 and parameters: {'batch_size': 512, 'n_steps': 128, 'gamma': 0.9999, 'learning_rate': 2.0306308539530088e-05, 'ent_coef': 1.9967660033203067e-07, 'clip_range': 0.1, 'n_epochs': 5, 'gae_lambda': 0.8, 'max_grad_norm': 0.9, 'vf_coef': 0.6424117463906713, 'net_arch': 'tiny', 'log_std_init': -3.396977501884263, 'sde_sample_freq': 16, 'ortho_init': True, 'activation_fn': 'leaky_relu', 'lr_schedule': 'constant'}. Best is trial 329 with value: 405.10401599999994.

Trial 30 finished with value: 363.8290392 and parameters: {'batch_size': 256, 'n_steps': 256, 'gamma': 0.9999, 'learning_rate': 0.003258537808118752, 'ent_coef': 0.0062350661245563705, 'clip_range': 0.2, 'n_epochs': 5, 'gae_lambda': 0.95, 'max_grad_norm': 0.7, 'vf_coef': 0.3661911770549592, 'net_arch': 'small', 'log_std_init': -2.790242885942397, 'sde_sample_freq': 64, 'ortho_init': True, 'activation_fn': 'leaky_relu', 'lr_schedule': 'linear'}. Best is trial 30 with value: 363.8290392.

Trial 23 finished with value: 304.857488 and parameters: {'batch_size': 512, 'n_steps': 16, 'gamma': 0.999, 'learning_rate': 1.4059050107223564e-05, 'ent_coef': 0.00162997790403edium', 'log_std_init': -3.9369400315733185, 'sde_sample_freq': -1, 'ortho_init': True, 'activation_fn': 'leaky_relu', 'lr_schedule': 'constant'}. Best is trial 23 with value: 304.857488.

Trial 10 finished with value: 254.178205 and parameters: {'batch_size': 256, 'n_steps': 128, 'gamma': 0.9, 'learning_rate': 0.019754118596918536, 'ent_coef': 0.009779827351273397, 'clip_range': 0.1, 'n_epochs': 10, 'gae_lambda': 0.9, 'max_grad_norm': 2, 'vf_coef': 0.007270486730155623, 'net_arch': 'medium', 'log_std_init': 0.0892053902650991, 'sde_sample_freq': 8, 'ortho_init': True, 'activation_fn': 'relu', 'lr_schedule': 'constant'}. Best is trial 10 with value: 254.178205.

Trial 395 finished with value: 304.7025804 and parameters: {'batch_size': 512, 'n_steps': 128, 'gamma': 0.9999, 'learning_rate': 1.675551345108045e-05, 'ent_coef': 3.0769416044621354e-07, 'clip_range': 0.1, 'n_epochs': 5, 'gae_lambda': 0.8, 'max_grad_norm': 2, 'vf_coef': 0.7780313683167236, 'net_arch': 'tiny', 'log_std_init': -3.7215445087781736, 'sde_sample_freq': 16, 'ortho_init': True, 'activation_fn': 'leaky_relu', 'lr_schedule': 'constant'}. Best is trial 329 with value: 405.10401599999994.

Trial 415 finished with value: 374.69121160000003 and parameters: {'batch_size': 512, 'n_steps': 128, 'gamma': 0.95, 'learning_rate': 7.591721320973319e-05, 'ent_coef': 9.285276163104293e-07, 'clip_range': 0.1, 'n_epochs': 5, 'gae_lambda': 0.8, 'max_grad_norm': 2, 'vf_coef': 0.8814194116632252, 'net_arch': 'tiny', 'log_std_init': -2.7334498403316516, 'sde_sample_freq': 16, 'ortho_init': True, 'activation_fn': 'leaky_relu', 'lr_schedule': 'constant'}. Best is trial 329 with value: 405.10401599999994

Trial 292 finished with value: 246.848326 and parameters: {'batch_size': 512, 'n_steps': 128, 'gamma': 0.95, 'learning_rate': 2.2114788077839042e-05, 'ent_coef': 0.03311568821113739, 'clip_range': 0.4, 'n_epochs': 20, 'gae_lambda': 0.9, 'max_grad_norm': 2, 'vf_coef': 0.9015417267893401, 'net_arch': 'medium', 'log_std_init': -2.8217122174349716, 'sde_sample_freq': 8, 'ortho_init': True, 'activation_fn': 'tanh', 'lr_schedule': 'constant'}. Best is trial 30 with value: 363.8290392.

Trial 282 finished with value: 300.1893522 and parameters: {'batch_size': 512, 'n_steps': 128, 'gamma': 0.95, 'learning_rate': 1.8399771925045427e-05, 'ent_coef': 0.006872390290108154, 'clip_range': 0.4, 'n_epochs': 20, 'gae_lambda': 0.9, 'max_grad_norm': 2, 'vf_coef': 0.684961371642041, 'net_arch': 'medium', 'log_std_init': -2.821422135668316, 'sde_sample_freq': 8, 'ortho_init': True, 'activation_fn': 'tanh', 'lr_schedule': 'constant'}. Best is trial 30 with value: 363.8290392.

Trial 257 finished with value: 276.5403266 and parameters: {'batch_size': 512, 'n_steps': 128, 'gamma': 0.95, 'learning_rate': 1.2518690671789966e-05, 'ent_coef': 0.06357140581736045, 'clip_range': 0.4, 'n_epochs': 20, 'gae_lambda': 0.9, 'max_grad_norm': 2, 'vf_coef': 0.5040362481119687, 'net_arch': 'medium', 'log_std_init': -2.4350875871412914, 'sde_sample_freq': 8, 'ortho_init': True, 'activation_fn': 'tanh', 'lr_schedule': 'constant'}. Best is trial 30 with value: 363.8290392.

Trial 253 finished with value: 268.4424556 and parameters: {'batch_size': 512, 'n_steps': 16, 'gamma': 0.999, 'learning_rate': 1.7665274034506846e-05, 'ent_coef': 0.06744821349776248, 'clip_range': 0.4, 'n_epochs': 1, 'gae_lambda': 0.8, 'max_grad_norm': 1, 'vf_coef': 0.48783659968574195, 'net_arch': 'medium', 'log_std_init': -3.374722087718904, 'sde_sample_freq': 16, 'ortho_init': True, 'activation_fn': 'tanh', 'lr_schedule': 'constant'}. Best is trial 30 with value: 363.8290392.

Trial 229 finished with value: 348.4917742 and parameters: {'batch_size': 64, 'n_steps': 128, 'gamma': 0.9999, 'learning_rate': 0.00035755330974459215, 'ent_coef': 1.5032772960035262e-08, 'clip_range': 0.3, 'n_epochs': 20, 'gae_lambda': 0.8, 'max_grad_norm': 0.5, 'vf_coef': 0.9300919680309242, 'net_arch': 'medium', 'log_std_init': -3.6567843661781554, 'sde_sample_freq': 16, 'ortho_init': True, 'activation_fn': 'leaky_relu', 'lr_schedule': 'constant'}. Best is trial 30 with value: 363.8290392.

Trial 138 finished with value: 278.6410658 and parameters: {'batch_size': 256, 'n_steps': 128, 'gamma': 0.9999, 'learning_rate': 4.00382743240025e-05, 'ent_coef': 1.820028444606561e-06, 'clip_range': 0.3, 'n_epochs': 1, 'gae_lambda': 0.9, 'max_grad_norm': 0.8, 'vf_coef': 0.7790157496737358, 'net_arch': 'medium', 'log_std_init': -3.2464149376877147, 'sde_sample_freq': -1, 'ortho_init': True, 'activation_fn': 'tanh', 'lr_schedule': 'constant'}. Best is trial 30 with value: 363.8290392.

